892 2517
295 102 880
87 292 7
220 211 483
593 72 230
644 846 210
22 486 291
484 553 554
18 371 1
425 752 944
84 478 773
234 9 781
357 96 28
132 55 163
12 214 596
799 512 557
795 694 153
156 560 344
564 474 827
416 321 8
718 99 613
776 599 90
572 309 215
705 357 176
193 306 467
173 563 332
402 562 885
806 608 157
463 13 829
892 295 693
80 552 875
100 531 179
724 511 136
318 661 520
329 424 9
645 385 922
482 76 540
565 468 171
876 544 491
575 330 160
84 880 741
224 121 276
486 671 324
184 588 796
516 88 791
29 404 3
177 444 492
389 386 629
51 335 181
882 122 328
225 384 72
30 755 569
270 722 657
607 23 549
130 562 467
237 496 785
857 731 492
577 607 1
854 647 66
181 549 110
117 36 310
504 875 916
454 101 555
315 503 455
646 642 454
274 802 900
310 71 201
366 537 457
554 586 849
356 310 970
83 125 226
374 834 32
487 387 838
685 191 423
657 654 496
507 284 259
9 709 134
323 825 710
721 733 120
257 720 337
812 134 201
328 36 877
607 436 99
195 337 165
809 637 636
5 79 115
67 736 203
794 679 194
4 883 433
185 703 885
65 16 2
120 295 562
758 684 622
582 44 412
460 783 949
376 600 763
398 180 886
276 518 62
775 584 591
318 655 622
519 218 113
122 168 405
453 784 681
262 231 154
437 561 203
290 649 605
850 359 74
163 854 228
370 644 761
716 232 933
412 561 128
760 432 324
521 388 550
45 780 940
741 207 866
115 821 112
91 465 520
132 590 463
720 478 65
76 470 615
39 131 696
40 622 988
274 364 695
111 870 319
444 129 370
267 164 927
319 454 259
479 755 200
353 789 614
81 155 310
636 494 65
488 217 471
834 585 129
105 813 722
399 708 290
471 615 110
368 187 380
165 469 948
497 378 483
874 391 664
204 838 901
78 168 26
502 456 336
195 569 447
163 197 122
354 146 61
247 386 467
104 862 111
236 807 430
525 618 543
649 557 299
558 109 757
444 198 30
508 337 192
688 809 314
735 331 156
172 584 974
860 660 451
474 341 523
548 55 850
704 415 657
753 170 906
152 53 357
378 186 196
542 708 600
139 374 453
845 477 520
509 811 227
149 713 680
826 765 156
393 616 708
126 269 299
536 822 665
860 853 455
569 620 792
781 244 14
315 160 180
322 538 821
65 505 691
334 401 748
174 262 850
162 416 832
435 659 39
323 634 54
826 806 652
720 154 839
889 600 632
793 596 515
32 451 316
703 388 381
224 164 943
93 53 747
137 135 890
324 522 554
549 673 777
422 18 877
67 673 64
836 497 355
713 836 727
164 190 863
372 839 666
873 586 700
150 827 901
682 758 766
667 694 529
211 368 274
665 205 842
618 363 866
558 883 632
727 65 546
867 767 611
828 442 688
282 625 5
57 553 751
387 684 251
437 685 741
412 857 619
522 373 38
330 424 210
593 311 918
362 545 866
422 535 814
625 400 659
804 572 435
686 875 452
623 747 855
119 44 347
467 679 588
701 688 894
318 660 566
192 188 946
564 193 779
403 88 12
99 840 168
413 886 319
679 842 643
39 103 35
389 657 756
193 547 483
476 355 828
556 382 78
333 346 650
783 349 356
345 882 506
624 877 914
117 545 803
110 797 437
356 235 871
465 367 529
534 477 123
483 620 88
565 388 304
756 223 563
852 118 465
279 840 819
713 74 395
518 310 595
471 175 568
739 374 598
524 441 361
19 196 960
560 210 981
364 105 338
562 721 639
433 292 469
319 154 87
515 652 556
211 469 763
873 113 591
844 864 719
285 555 737
568 277 621
579 691 710
644 655 523
804 645 939
141 506 114
285 748 719
819 222 909
589 759 762
88 149 576
836 886 202
640 887 590
405 641 180
396 205 431
669 68 462
438 531 298
658 347 109
655 810 349
622 428 683
625 662 334
285 38 221
819 315 442
781 99 525
657 673 843
829 406 568
356 501 814
643 492 928
747 421 337
733 672 257
196 657 976
82 508 22
888 121 397
861 723 723
757 288 599
541 203 188
818 424 568
602 748 781
221 670 290
882 25 975
161 430 130
716 482 832
282 157 771
90 481 573
236 426 440
665 314 412
813 862 722
187 753 830
59 187 340
61 830 131
364 50 235
558 36 302
201 30 988
634 188 350
218 201 717
171 506 189
563 889 705
88 324 551
126 46 256
224 359 188
373 465 149
105 403 968
191 403 28
478 356 767
168 139 494
331 192 595
145 413 711
490 877 510
162 82 520
151 721 922
645 515 146
259 90 257
446 426 455
397 425 994
837 118 163
313 604 918
99 276 251
267 770 695
204 34 646
56 827 717
289 814 952
747 403 141
107 341 932
255 454 912
832 32 145
173 64 701
561 883 501
191 354 985
305 238 725
668 130 514
462 84 274
53 631 332
365 104 967
888 305 774
682 336 773
210 478 465
372 886 264
300 710 723
839 501 461
480 409 951
315 270 851
577 593 808
59 812 543
490 273 35
733 95 869
698 128 580
840 809 184
654 542 294
786 58 449
26 526 919
266 627 904
460 752 858
824 465 882
609 299 346
653 426 557
52 30 481
649 422 489
364 849 632
96 241 56
250 600 227
551 760 864
6 581 517
405 892 654
695 384 159
141 144 740
308 185 467
423 267 968
57 210 711
617 319 753
377 488 149
708 464 7
542 671 108
669 498 682
586 424 102
412 619 4
302 184 297
746 103 284
143 363 279
747 756 701
107 166 154
752 84 706
498 416 529
793 286 832
801 65 724
198 435 227
13 825 934
289 124 300
648 794 56
322 93 537
555 133 109
354 643 69
683 89 895
140 622 450
245 393 100
137 530 833
545 43 207
390 26 645
592 221 818
522 452 835
387 182 529
532 383 915
327 503 584
791 691 281
239 565 905
180 620 218
703 784 345
263 246 595
153 187 624
457 175 421
188 438 461
206 449 462
596 153 255
888 320 626
118 41 464
175 830 525
110 686 855
254 26 230
765 787 963
197 406 71
232 277 424
501 659 990
466 335 848
861 96 242
54 396 266
515 798 339
431 179 353
842 889 233
361 232 751
297 443 265
852 858 587
86 208 825
892 480 212
324 857 9
92 834 460
5 785 189
103 891 401
264 660 168
785 765 927
746 191 919
609 539 299
110 343 815
830 671 101
768 431 350
330 13 981
111 715 373
759 441 70
732 265 520
656 304 3
695 342 518
640 708 257
381 630 761
890 245 650
884 408 189
638 708 609
371 703 644
851 81 392
758 797 1000
558 663 636
677 333 244
275 339 676
656 233 927
665 381 412
664 660 144
787 881 265
66 47 34
657 389 68
123 48 232
891 794 295
713 796 173
645 92 827
524 650 337
104 328 498
101 550 931
753 725 807
528 491 211
507 109 741
309 813 88
498 521 219
516 281 151
18 797 592
577 345 741
138 710 909
405 479 679
211 594 661
682 27 463
595 166 572
669 433 467
361 402 51
73 282 558
856 589 690
658 763 392
704 538 761
210 195 35
569 314 124
552 559 229
662 637 223
810 399 920
59 349 950
747 684 231
130 218 313
853 386 523
362 668 372
611 330 47
689 374 960
736 252 969
344 625 915
388 718 102
501 131 181
165 44 241
735 574 14
126 115 338
685 240 828
710 390 597
562 548 1
110 325 562
595 125 880
131 318 571
627 139 170
368 429 613
378 540 335
247 674 490
769 287 264
450 420 96
328 482 550
817 467 475
450 519 361
872 468 123
334 861 803
694 29 354
290 40 623
592 317 210
560 506 901
151 125 243
604 61 241
65 609 761
643 78 221
80 553 472
188 345 944
492 102 299
692 291 282
69 873 252
35 6 741
871 574 537
323 376 616
189 128 481
311 682 378
759 831 172
575 750 152
257 817 809
210 471 544
705 100 113
843 122 999
858 783 826
513 798 456
60 721 911
312 109 934
214 22 250
652 614 310
629 207 723
258 235 125
665 391 491
430 505 641
562 29 363
680 128 522
541 355 472
794 750 420
69 731 589
825 218 933
606 205 981
591 352 51
682 29 112
792 301 477
327 335 423
8 569 780
382 392 412
102 660 191
209 749 693
691 568 118
784 95 575
877 422 139
351 621 501
195 596 477
201 235 969
188 457 373
597 505 843
475 228 375
211 773 963
597 224 99
154 331 163
57 486 921
810 645 6
663 544 327
824 236 809
80 511 897
456 124 807
298 866 272
60 881 308
97 124 941
268 348 525
235 542 175
263 200 692
680 290 777
33 439 296
532 551 447
461 725 592
769 745 465
74 190 223
373 598 907
18 336 932
64 410 916
853 46 521
445 38 935
566 192 271
391 11 872
64 37 988
634 337 785
82 589 775
308 528 255
367 118 836
610 45 875
409 459 240
199 32 761
161 432 358
454 551 207
146 513 325
718 475 575
710 211 676
752 141 650
59 590 267
243 270 697
468 716 994
381 704 615
495 84 634
793 201 335
828 304 422
475 800 234
620 517 801
3 427 716
810 475 448
440 791 845
152 435 399
759 9 513
76 767 503
852 425 239
91 823 482
524 714 419
428 594 320
266 42 224
340 509 836
596 475 756
584 669 148
120 357 619
737 884 988
577 21 49
632 184 884
789 749 737
554 712 800
872 838 856
799 130 946
238 508 678
87 567 14
192 681 956
559 766 144
597 66 162
409 236 150
292 114 586
490 561 690
225 850 840
228 624 125
597 521 82
132 431 439
558 388 439
396 801 126
725 178 27
230 610 522
869 783 354
324 13 258
32 432 172
741 315 985
239 245 10
623 444 203
151 635 973
460 224 724
884 694 588
201 741 488
542 562 792
164 182 393
776 7 525
206 87 102
545 881 985
28 168 397
548 728 759
790 118 904
771 823 356
746 509 818
167 769 842
567 254 911
220 151 375
464 845 694
169 350 171
545 778 460
639 33 681
715 408 561
699 571 14
8 437 681
4 91 533
717 247 238
400 868 821
607 453 202
775 183 917
289 229 382
548 210 618
891 849 842
441 130 342
167 21 523
345 167 498
440 850 761
832 112 703
235 857 164
190 195 830
663 554 67
705 453 81
302 436 493
530 559 227
473 789 968
471 731 671
803 515 740
669 798 691
333 362 412
509 772 643
153 310 973
511 258 935
792 648 704
491 11 245
222 709 356
328 366 106
528 719 677
65 691 42
702 827 879
696 532 441
807 139 594
513 342 639
498 347 126
92 496 778
92 510 977
7 104 657
587 429 608
449 110 358
170 776 531
93 451 692
663 791 989
744 1 245
621 794 888
504 770 343
842 804 745
516 207 348
489 652 949
298 581 981
837 489 680
476 100 811
192 315 40
625 424 451
45 808 462
389 359 445
658 813 97
167 143 653
830 238 890
108 699 734
551 542 963
753 710 737
815 625 458
642 658 971
650 283 672
413 303 369
773 401 781
617 485 734
812 93 214
801 683 155
92 483 619
12 566 981
93 303 201
460 416 225
646 698 759
365 30 972
223 583 514
447 414 830
532 820 982
68 277 405
82 484 986
136 675 296
825 356 887
505 111 46
655 15 835
441 742 267
90 124 960
65 419 760
491 845 855
392 780 192
707 64 281
457 587 139
275 670 255
416 62 986
242 628 125
520 694 999
552 682 771
221 466 315
714 550 981
341 358 305
733 849 34
839 331 547
329 181 609
97 684 244
771 487 283
193 349 927
769 386 464
202 776 26
103 600 456
541 484 820
858 804 183
95 542 494
473 166 595
48 468 357
77 182 621
766 157 114
765 463 455
858 300 267
668 276 398
379 253 749
88 567 350
781 214 67
18 218 203
228 651 563
418 120 937
240 846 628
537 200 210
572 124 124
672 107 644
638 203 901
112 881 828
232 290 584
666 101 178
645 228 629
859 268 725
361 458 807
388 90 64
448 226 493
158 841 947
308 79 613
814 438 312
537 127 610
522 518 383
745 239 252
477 426 39
39 647 739
343 51 875
627 847 608
504 5 470
525 626 878
851 270 608
539 90 97
331 440 97
888 163 26
824 816 638
52 253 48
750 120 79
230 493 543
58 467 765
249 145 639
645 875 774
837 514 415
432 307 356
446 473 514
312 616 363
809 682 465
356 787 424
757 512 543
56 94 316
93 664 846
89 708 301
573 544 414
747 346 325
95 809 951
484 214 802
80 802 643
285 843 498
798 394 66
829 316 658
260 157 322
551 239 355
794 158 6
179 643 254
271 168 314
891 78 93
593 634 201
330 836 290
152 379 418
493 682 59
285 113 617
209 252 828
62 877 134
425 372 962
803 339 392
223 662 392
628 124 111
575 356 467
114 495 141
864 2 907
238 51 119
484 383 660
578 293 150
451 571 178
2 425 708
518 322 651
787 445 968
469 224 592
564 618 981
713 88 741
645 760 446
604 370 218
348 288 687
500 135 400
504 129 745
126 173 926
319 807 902
163 20 906
220 445 355
819 167 445
18 373 97
513 13 796
117 660 509
664 627 638
501 334 441
335 480 12
153 221 354
312 830 747
542 557 745
676 587 240
397 730 719
154 602 455
197 135 784
680 106 111
190 619 138
613 278 965
471 307 628
104 272 341
394 729 559
749 396 554
311 870 55
41 305 85
340 593 767
214 314 603
587 859 176
298 405 625
56 146 333
354 100 907
554 234 622
44 400 455
246 689 32
677 212 925
864 366 787
713 644 91
224 697 52
305 427 602
228 849 54
882 225 617
465 662 390
29 95 343
282 582 262
234 748 717
285 352 933
389 392 622
234 156 62
465 784 468
890 499 346
418 457 199
249 304 330
232 795 249
496 851 990
694 270 285
316 510 964
625 324 996
208 196 170
593 689 1
812 548 737
451 732 225
451 357 183
434 798 440
753 833 587
578 276 502
242 817 107
712 249 624
616 106 282
9 392 924
412 438 859
53 599 931
244 288 242
649 570 800
736 601 573
117 717 777
861 390 781
694 460 918
330 215 413
201 105 853
506 352 703
628 884 185
805 67 321
201 762 841
563 648 39
609 757 475
64 153 28
280 799 639
606 374 77
422 181 550
251 259 22
814 784 476
169 671 280
649 391 633
269 155 673
775 348 935
669 407 283
290 820 532
823 274 901
323 602 728
793 415 891
126 295 536
594 86 799
155 348 534
140 550 300
711 636 347
728 510 815
61 493 533
786 431 912
635 166 529
500 725 931
250 71 970
190 755 792
300 220 80
386 18 143
29 800 742
312 185 572
532 564 244
156 115 265
584 553 331
857 732 102
157 779 579
587 569 523
443 162 506
98 295 687
178 550 617
758 808 148
2 596 629
806 555 987
669 111 223
584 631 323
574 637 705
507 594 592
817 797 112
69 594 360
384 390 652
840 85 319
664 835 784
414 224 344
374 800 457
114 354 332
39 264 167
426 511 974
842 407 189
502 135 64
787 142 625
199 736 120
489 136 422
95 314 602
447 419 94
46 616 123
332 70 901
473 63 584
130 651 78
668 349 310
638 170 80
398 181 873
837 487 500
700 121 422
536 435 368
237 200 513
11 688 308
271 433 928
696 431 712
412 351 999
845 671 209
84 772 677
200 535 312
812 517 272
765 604 77
326 128 44
677 477 128
142 100 96
693 69 380
271 520 327
43 79 837
518 824 607
211 655 24
751 403 495
839 313 177
480 456 872
99 300 82
126 836 171
258 31 404
163 619 424
11 469 614
121 21 226
480 20 759
481 157 134
630 211 510
255 851 829
15 855 286
378 586 275
346 664 950
457 397 479
321 641 25
730 185 665
796 730 569
794 161 732
162 322 669
737 428 899
323 591 477
560 823 376
731 847 534
575 820 198
187 29 750
289 393 472
423 547 122
407 837 811
818 780 434
290 139 557
607 746 731
587 465 589
71 821 895
198 144 746
292 621 421
284 314 726
126 403 657
22 313 516
153 555 266
42 158 185
149 136 427
129 769 323
61 603 178
124 246 349
796 722 569
162 69 788
465 613 989
753 330 7
835 268 832
328 688 632
431 160 840
671 267 930
508 486 9
374 422 5
36 594 435
54 804 510
527 55 406
891 428 469
61 307 736
440 323 6
892 188 431
494 435 799
376 173 482
556 368 920
446 842 689
140 199 743
195 251 386
320 450 357
113 268 583
737 38 688
549 404 145
484 203 360
324 260 992
120 238 999
422 843 951
19 801 23
877 397 586
228 768 293
225 172 733
596 702 790
554 349 818
614 549 958
98 590 262
612 423 802
537 614 122
179 653 609
192 486 206
329 823 919
557 4 855
436 3 52
880 114 894
420 171 162
812 577 943
118 373 660
517 812 693
779 817 382
667 115 317
424 462 358
580 653 942
58 373 477
20 801 130
827 486 399
293 324 522
640 623 799
447 856 476
519 245 944
149 186 137
131 30 344
303 490 942
612 44 879
797 313 858
458 609 529
489 223 661
862 272 926
526 769 175
38 2 355
616 671 924
857 873 201
328 273 893
773 329 695
418 519 398
194 759 320
649 281 340
60 570 716
888 384 463
45 775 994
16 172 927
786 781 355
381 813 164
97 594 196
425 328 880
626 77 554
264 277 692
569 524 63
207 410 993
267 799 780
538 795 668
366 525 473
396 458 905
559 554 711
453 769 692
774 530 627
58 115 51
449 464 772
663 627 268
334 285 868
8 501 172
72 692 636
326 858 91
358 314 685
308 564 685
75 337 656
533 358 819
188 541 337
78 58 911
454 584 766
694 351 447
528 574 935
417 669 555
370 849 358
380 509 770
856 767 585
782 673 561
219 29 450
189 184 23
381 457 189
682 207 126
660 86 497
699 665 132
558 874 66
394 1 360
623 575 643
91 537 911
879 220 324
627 629 110
432 672 796
548 348 359
559 822 514
208 573 145
196 609 805
879 462 34
380 690 678
419 694 591
746 332 270
75 515 503
693 17 425
175 447 170
589 214 162
105 130 209
286 323 872
257 160 631
239 841 863
226 440 439
891 474 904
835 256 544
843 451 895
810 253 144
731 356 93
369 584 109
577 868 568
888 639 922
396 256 608
253 693 715
264 192 663
857 196 726
116 631 647
238 756 495
426 401 427
279 43 439
547 886 744
809 363 175
529 255 684
500 808 896
214 64 825
130 811 242
415 465 686
119 483 694
80 351 116
877 98 55
733 697 44
290 530 93
58 823 868
532 254 346
368 642 495
208 534 576
332 29 425
596 620 789
386 754 593
297 479 348
619 820 541
11 859 368
872 489 330
280 211 59
328 386 817
686 516 722
119 690 176
747 795 953
427 420 634
822 774 159
404 39 224
608 46 976
701 880 434
473 147 332
560 736 833
779 826 367
590 856 733
424 260 220
50 126 276
743 792 422
8 767 322
102 213 468
837 115 491
510 816 805
250 77 202
712 53 573
673 29 255
401 620 645
194 132 660
65 209 416
577 344 940
60 834 248
14 797 773
550 448 189
412 858 295
398 31 690
597 367 251
88 98 456
480 635 536
567 412 639
329 373 323
226 603 681
325 662 249
270 70 125
124 670 466
219 608 786
348 595 47
635 358 17
262 155 781
505 631 695
401 793 193
178 149 342
389 348 889
329 657 279
82 732 302
219 151 137
87 658 430
830 712 940
513 370 546
862 373 759
330 478 106
629 453 947
481 807 747
200 637 482
182 744 733
563 706 301
881 490 374
748 837 140
887 158 273
789 245 303
686 36 233
304 887 437
507 604 35
369 168 343
160 82 357
551 12 73
117 154 760
191 654 508
778 439 372
134 459 201
8 333 876
599 735 996
438 350 674
278 184 789
891 177 318
346 11 162
485 203 382
357 706 903
347 663 71
888 554 66
155 686 477
767 7 56
462 378 320
86 706 635
359 401 580
95 416 201
76 332 968
838 344 550
808 63 111
549 537 220
98 57 708
257 179 580
737 835 589
136 737 886
41 517 232
433 259 156
741 663 701
132 668 343
655 759 285
210 440 198
243 33 325
167 87 927
799 467 281
178 258 413
281 655 966
6 222 868
879 614 33
273 179 15
304 438 265
482 643 759
624 670 242
363 748 593
219 17 565
354 538 756
284 60 908
757 704 252
729 551 405
429 424 818
34 790 574
502 183 540
94 270 680
240 395 482
115 339 847
539 334 805
579 85 185
765 808 343
635 164 627
886 804 314
885 645 992
365 350 413
405 675 609
96 196 412
36 355 222
20 850 529
117 571 544
210 273 558
777 569 999
656 884 759
746 412 607
255 491 479
350 79 219
49 273 823
264 683 431
228 855 129
744 870 719
533 351 70
691 252 359
371 311 731
510 141 574
104 388 380
145 849 997
186 111 724
719 588 193
550 600 715
334 230 264
795 574 884
465 135 898
393 708 263
224 595 613
609 212 837
854 686 707
696 543 674
195 331 920
669 415 544
203 616 941
62 558 655
400 236 817
284 402 868
140 51 478
114 69 324
811 171 420
777 672 177
149 461 19
141 352 417
92 188 43
102 433 785
364 618 668
386 394 304
229 859 778
786 68 193
394 387 850
682 800 136
829 723 592
16 189 166
457 837 356
202 94 559
398 238 719
402 555 198
772 835 84
570 818 595
111 195 850
139 661 758
66 303 706
421 336 737
789 53 210
257 313 615
687 153 213
593 448 690
564 359 689
233 426 626
787 125 122
517 100 175
308 10 883
779 112 401
380 683 25
215 684 982
381 275 882
383 666 398
92 810 658
119 420 614
792 37 23
720 514 630
795 512 483
566 232 603
458 148 165
26 271 787
67 830 60
777 446 547
218 771 73
46 227 792
99 254 488
672 261 440
779 125 638
61 848 775
44 709 134
115 809 587
305 674 112
116 97 425
843 407 218
87 335 847
510 52 288
229 339 830
191 754 932
103 441 918
651 162 749
38 138 782
592 335 185
735 889 479
349 614 88
620 140 478
560 78 67
45 588 479
46 629 658
427 685 680
822 591 557
457 78 178
569 159 616
848 883 715
462 92 165
188 593 65
210 274 14
508 675 207
744 268 388
271 858 563
751 720 720
44 124 740
256 454 703
319 302 1000
321 129 233
852 215 517
702 756 128
766 58 372
606 462 689
870 428 205
609 81 937
95 723 443
535 793 710
310 695 944
562 617 428
178 58 139
746 194 439
63 72 199
330 457 65
685 28 891
538 215 58
358 211 871
791 411 936
369 245 334
285 173 254
886 747 662
798 844 464
315 891 163
104 687 503
424 588 680
22 817 757
356 183 128
329 444 311
627 668 172
391 347 891
831 383 869
208 793 707
297 81 720
623 807 787
294 87 187
228 347 171
877 25 664
602 114 440
784 195 120
455 868 895
47 799 167
138 140 925
330 634 904
383 472 538
121 757 856
120 329 801
776 730 231
429 391 338
87 264 247
746 584 68
530 444 625
447 58 89
375 176 639
787 416 104
751 629 868
282 240 536
236 331 210
178 875 38
328 707 421
293 294 108
59 410 206
158 769 20
516 891 396
862 350 955
638 667 918
412 43 455
64 643 475
619 722 514
823 91 970
734 134 965
217 843 767
362 274 248
98 7 186
452 669 668
446 679 749
485 291 365
866 133 255
3 517 432
167 747 591
749 213 7
333 220 921
686 519 225
580 585 352
547 63 460
28 668 188
720 443 763
580 721 579
348 815 385
422 459 582
75 72 747
180 708 205
490 779 477
14 822 811
77 163 642
391 29 888
102 584 975
632 77 548
477 538 806
808 397 850
131 657 757
146 832 796
156 126 599
530 561 318
535 701 67
38 892 646
831 683 728
556 880 336
651 810 997
214 710 37
809 616 479
724 511 9
581 395 195
584 749 691
113 209 349
433 286 231
65 261 370
63 737 887
750 219 452
381 877 690
668 613 561
150 825 981
681 568 604
870 476 919
631 146 233
61 325 899
63 757 834
343 859 129
556 568 734
856 874 304
383 589 774
308 210 911
770 496 139
430 642 567
814 458 259
319 748 291
136 266 725
851 582 204
196 398 502
287 159 131
115 505 271
121 299 265
766 855 769
590 639 83
815 470 276
472 260 445
751 27 840
281 664 86
77 525 334
880 748 49
365 561 932
812 274 973
97 146 999
151 514 658
600 578 658
136 722 89
738 772 922
305 532 168
570 518 75
586 874 471
35 767 759
607 575 961
887 5 657
122 206 307
740 87 574
70 791 810
37 181 572
391 425 152
669 533 295
14 389 124
599 429 311
482 818 173
715 634 98
771 267 686
90 796 197
580 329 928
231 642 909
134 284 682
192 187 902
141 446 601
247 13 261
869 144 913
836 557 22
131 860 262
815 787 762
741 711 190
645 54 374
544 721 245
184 671 286
359 599 30
394 449 87
40 604 484
132 683 704
611 865 629
512 116 512
528 750 227
66 369 339
578 669 88
796 90 542
27 447 549
26 706 897
196 194 43
608 872 970
660 63 345
175 545 252
244 477 547
646 290 473
27 160 340
376 662 614
442 760 535
413 174 129
730 114 622
224 115 433
147 437 362
763 238 924
759 885 95
608 485 627
520 862 725
96 519 679
24 735 752
889 198 509
479 172 235
514 509 563
792 695 528
434 320 406
577 108 432
133 177 136
788 220 915
28 456 586
11 561 711
701 268 679
483 879 220
417 869 198
305 338 943
105 344 319
175 2 89
216 487 139
681 853 702
25 612 687
290 210 940
716 607 897
542 604 176
676 118 501
206 613 31
889 42 413
510 415 35
276 313 195
584 621 906
473 126 817
809 785 65
305 33 430
45 804 511
712 409 514
414 396 165
123 695 434
740 675 230
337 670 422
147 2 387
506 41 912
164 605 542
644 392 22
529 515 44
418 835 940
168 542 264
384 416 340
23 107 483
294 311 99
301 6 62
840 532 23
438 296 955
650 343 144
277 496 556
889 505 281
222 332 321
656 617 593
408 280 701
535 234 997
265 168 651
694 36 901
23 334 692
702 512 138
854 280 258
114 81 996
32 689 204
532 691 724
883 471 822
70 265 168
564 321 821
8 125 357
863 50 369
90 175 38
759 280 989
870 643 213
176 602 792
869 205 139
491 794 642
171 116 777
272 104 659
113 725 606
3 102 701
698 177 20
681 452 533
567 198 85
325 115 519
147 608 472
832 386 157
422 481 797
291 819 909
245 657 854
600 137 282
146 603 563
645 116 844
502 209 866
431 345 774
709 331 239
430 47 206
534 574 749
95 527 340
538 737 176
735 10 549
564 329 958
637 838 614
353 880 578
470 327 675
240 66 685
774 521 329
540 129 670
358 626 117
568 740 547
880 506 493
548 655 892
181 555 776
718 530 45
364 596 862
503 854 4
376 299 382
192 416 957
379 776 796
96 655 126
695 365 955
337 73 424
658 644 583
714 256 889
822 755 42
779 446 744
378 468 824
146 738 573
481 568 946
549 687 380
868 377 730
16 133 814
188 461 649
48 79 22
736 677 265
227 200 722
36 217 346
879 603 864
263 251 476
595 182 50
305 332 958
692 334 351
804 421 346
132 99 816
479 387 973
693 421 963
328 356 775
48 746 445
636 231 777
789 597 480
114 706 755
561 273 736
818 605 450
483 863 689
619 148 319
385 311 589
424 826 70
158 232 122
714 431 969
412 7 956
39 35 517
595 380 647
63 655 651
444 795 897
255 525 633
793 507 114
575 702 563
583 555 165
852 126 94
227 89 89
184 93 240
365 338 711
60 430 297
324 473 581
633 656 388
89 103 331
615 415 230
363 172 208
537 194 94
41 171 488
308 862 176
92 439 123
131 816 783
792 482 589
648 815 285
860 325 471
207 82 566
5 405 815
611 610 644
874 161 614
425 261 857
780 627 56
506 771 585
821 355 621
790 691 850
147 800 504
340 244 146
78 878 213
814 398 7
108 223 179
213 526 704
139 663 155
701 579 527
282 51 911
652 849 990
351 399 345
